Time [s],Channel 0
1.236431528,1
1.239466437,0
1.248572750,1
1.253134625,0
1.253690563,1
1.254265563,0
1.254848375,1
1.255410125,0
1.256014313,1
1.256555438,0
1.257139500,1
1.257699312,0
1.258283812,1
1.258868000,0
1.259448563,1
1.260011437,0
1.260586750,1
1.261152750,0
1.261733313,1
1.262282750,0
1.262856687,1
1.264537000,0
1.265121938,1
1.266797875,0
1.267407687,1
1.269066000,0
1.269640125,1
1.271330125,0
1.271907437,1
1.273577500,0
1.274161937,1
1.275854937,0
1.276436687,1
1.276981437,0
1.277565750,1
1.279241312,0
1.279850250,1
1.281510938,0
1.282088312,1
1.282646750,0
1.283255500,1
1.284905500,0
1.285491938,1
1.287181687,0
1.287760312,1
1.288314313,0
1.288889750,1
1.289458875,0
1.290065375,1
1.290607438,0
1.291183500,1
1.291746250,0
1.292355187,1
1.292902125,0
1.293476625,1
1.295154937,0
1.295739875,1
1.296306000,0
1.296914937,1
1.297442625,0
1.298052812,1
1.299712688,0
1.300289125,1
1.301967188,0
1.302544813,1
1.304220687,0
1.304829750,1
1.306480188,0
1.307091875,1
1.347914750,0
1.356725750,1
1.359084812,0
1.359580313,1
1.364963187,1
