Time [s],Channel 0
0.428551966,1
0.431398687,0
0.440435125,1
0.444910313,0
0.445500562,1
0.446043250,0
0.446634375,1
0.447182875,0
0.447762250,1
0.448314563,0
0.448904625,1
0.449478000,0
0.450034000,1
0.450583375,0
0.451175063,1
0.451719188,0
0.452309750,1
0.452857125,0
0.453439625,1
0.453987500,0
0.454579875,1
0.456231125,0
0.456821250,1
0.458473937,0
0.459065188,1
0.460718813,0
0.461309875,1
0.462960812,0
0.463551625,1
0.465204625,0
0.465795750,1
0.467446750,0
0.468040125,1
0.468583125,0
0.469172313,1
0.470824313,0
0.471415562,1
0.473068062,0
0.473659750,1
0.474202313,0
0.474793062,1
0.476444688,0
0.477033437,1
0.478687187,0
0.479280563,1
0.479824187,0
0.480415688,1
0.480960250,0
0.481545750,1
0.482091625,0
0.482682938,1
0.483229313,0
0.483813188,1
0.484359563,0
0.484977687,1
0.486604938,0
0.487196313,1
0.487739125,0
0.488328688,1
0.488875687,0
0.489462562,1
0.491115250,0
0.491732187,1
0.493360187,0
0.493978562,1
0.495602375,0
0.496192813,1
0.497847313,0
0.498437562,1
0.539336375,0
0.548368938,1
0.550601375,0
0.551222312,1
0.556642125,1
